Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt2044729,6/8/2021,6/8/2021,,A Glimpse Inside the Mind of Charles Swan III,A Glimpse Inside the Mind of Charles Swan III,https://www.imdb.com/title/tt2044729/,Movie,4.6,86,2012,Comedy,5739,3/14/2013,Roman Coppola
2,tt2115295,6/8/2021,6/8/2021,,Ginger & Rosa,Ginger & Rosa,https://www.imdb.com/title/tt2115295/,Movie,6.2,90,2012,Drama,11804,10/19/2012,Sally Potter
3,tt2101441,6/8/2021,6/8/2021,,Spring Breakers,Spring Breakers,https://www.imdb.com/title/tt2101441/,Movie,5.3,94,2012,"Crime, Drama, Thriller",149281,3/22/2013,Harmony Korine
4,tt2132285,6/8/2021,6/8/2021,,The Bling Ring,The Bling Ring,https://www.imdb.com/title/tt2132285/,Movie,5.6,90,2013,"Biography, Crime, Drama",92541,6/21/2013,Sofia Coppola
5,tt1714206,5/8/2022,5/8/2022,,The Spectacular Now,The Spectacular Now,https://www.imdb.com/title/tt1714206/,Movie,7,95,2013,"Drama, Romance",161903,9/13/2013,James Ponsoldt
6,tt2316411,5/8/2022,5/8/2022,,Enemy,Enemy,https://www.imdb.com/title/tt2316411/,Movie,6.9,91,2013,"Drama, Mystery, Thriller",216869,2/6/2014,Denis Villeneuve
7,tt1441395,5/8/2022,5/8/2022,,Under the Skin,Under the Skin,https://www.imdb.com/title/tt1441395/,Movie,6.3,108,2013,"Drama, Horror, Mystery, Sci-Fi, Thriller",159292,4/18/2014,Jonathan Glazer
8,tt2692904,5/8/2022,5/8/2022,,Locke,Locke,https://www.imdb.com/title/tt2692904/,Movie,7.1,85,2013,Drama,160244,4/18/2014,Steven Knight
9,tt2910274,5/8/2022,5/8/2022,,Obvious Child,Obvious Child,https://www.imdb.com/title/tt2910274/,Movie,6.7,84,2014,"Comedy, Drama, Romance",26389,6/27/2014,Gillian Robespierre
10,tt2345737,5/8/2022,5/8/2022,,The Rover,The Rover,https://www.imdb.com/title/tt2345737/,Movie,6.4,103,2014,"Action, Crime, Drama, Sci-Fi",51658,6/20/2014,David Michôd
11,tt2581244,5/8/2022,5/8/2022,,Life After Beth,Life After Beth,https://www.imdb.com/title/tt2581244/,Movie,5.7,89,2014,"Comedy, Fantasy, Horror, Romance",23992,7/15/2014,Jeff Baena
12,tt3099498,5/8/2022,5/8/2022,,Tusk,Tusk,https://www.imdb.com/title/tt3099498/,Movie,5.4,102,2014,"Comedy, Horror",63877,9/19/2014,Kevin Smith
13,tt2034031,5/8/2022,5/8/2022,,Laggies,Laggies,https://www.imdb.com/title/tt2034031/,Movie,6.4,99,2014,"Comedy, Drama, Romance",45937,11/7/2014,Lynn Shelton
14,tt1396523,5/8/2022,5/8/2022,,Revenge of the Green Dragons,Revenge of the Green Dragons,https://www.imdb.com/title/tt1396523/,Movie,5.3,94,2014,"Action, Crime, Drama",4317,9/11/2014,"Andrew Lau, Andrew Loo"
15,tt2326612,5/8/2022,5/8/2022,,The Captive,The Captive,https://www.imdb.com/title/tt2326612/,Movie,5.9,112,2014,"Crime, Drama, Mystery, Thriller",35926,12/12/2014,Atom Egoyan
16,tt2937898,5/8/2022,5/8/2022,,A Most Violent Year,A Most Violent Year,https://www.imdb.com/title/tt2937898/,Movie,6.9,125,2014,"Action, Crime, Drama, Thriller",78064,1/30/2015,J.C. Chandor
17,tt2452200,5/8/2022,5/8/2022,,Son of a Gun,Son of a Gun,https://www.imdb.com/title/tt2452200/,Movie,6.4,108,2014,"Action, Crime, Drama, Thriller",29685,12/11/2014,Julius Avery
18,tt1791682,5/8/2022,5/8/2022,,While We're Young,While We're Young,https://www.imdb.com/title/tt1791682/,Movie,6.3,97,2014,"Comedy, Drama, Mystery",53821,4/17/2015,Noah Baumbach
19,tt1661820,5/8/2022,5/8/2022,,Cut Bank,Cut Bank,https://www.imdb.com/title/tt1661820/,Movie,6.1,93,2014,"Crime, Drama, Mystery, Thriller",13930,4/3/2015,Matt Shakman
20,tt0470752,5/8/2022,5/8/2022,,Ex Machina,Ex Machina,https://www.imdb.com/title/tt0470752/,Movie,7.7,108,2014,"Drama, Sci-Fi, Thriller",595290,4/24/2015,Alex Garland
21,tt3205376,5/8/2022,5/8/2022,,Slow West,Slow West,https://www.imdb.com/title/tt3205376/,Movie,6.9,84,2015,"Action, Adventure, Drama, Romance, Thriller, Western",48149,4/16/2015,John Maclean
22,tt1731701,5/8/2022,5/8/2022,,Barely Lethal,Barely Lethal,https://www.imdb.com/title/tt1731701/,Movie,5.4,96,2015,"Action, Comedy",23396,4/30/2015,Kyle Newman
23,tt2870648,5/8/2022,5/8/2022,,Amy,Amy,https://www.imdb.com/title/tt2870648/,Movie,7.8,128,2015,"Documentary, Biography, Music",55637,7/10/2015,Asif Kapadia
24,tt3416744,5/8/2022,5/8/2022,,The End of the Tour,The End of the Tour,https://www.imdb.com/title/tt3416744/,Movie,7.2,106,2015,"Biography, Drama",32687,8/14/2015,James Ponsoldt
